max_distance_distributions,max_distance_sketches
0.0302,0.0304
0.0715,0.0716
0.0898,0.0894
0.6014,0.6013
0.5578,0.5573
0.5217,0.5216
0.4929,0.4923
0.469,0.4684
0.4582,0.457
0.9039,0.9033
0.8701,0.8689
0.8424,0.8418
0.8153,0.8144
0.7921,0.7913
0.7562,0.7553
0.989,0.9878
0.9803,0.9795
0.9664,0.9651
0.9539,0.9534
0.938,0.9372
0.919,0.9176
0.9991,0.9987
0.9981,0.9976
0.9952,0.9947
0.9921,0.9912
0.9881,0.9872
0.9817,0.9805
1,1.0001
1,0.9997
0.9999,0.9996
0.9988,0.9983
0.998,0.9973
0.996,0.9954
1,1.0003
1,1.0003
1,1.0003
0.9999,0.9999
0.9999,0.9996
0.9998,0.9996
0.0443,0.0441
0.0625,0.0623
0.5749,0.5745
0.5316,0.5311
0.4959,0.4957
0.4644,0.4636
0.4407,0.4399
0.4291,0.4279
0.8818,0.8811
0.8448,0.8436
0.8173,0.8167
0.7901,0.7891
0.7667,0.766
0.7306,0.7295
0.9799,0.9789
0.9685,0.9677
0.9516,0.9504
0.9366,0.9363
0.919,0.9183
0.8997,0.8985
0.9977,0.9976
0.9961,0.9957
0.991,0.9906
0.9861,0.9853
0.9811,0.9799
0.9724,0.9709
0.9998,1.0003
0.9997,0.9999
0.999,0.9989
0.9976,0.9973
0.9958,0.9953
0.9933,0.9928
1,1.0005
1,1.0005
0.9999,1.0005
0.9997,1.0001
0.9994,0.9997
0.9991,0.9991
0.0266,0.0269
0.5591,0.5591
0.5131,0.513
0.4805,0.48
0.4477,0.447
0.4237,0.4233
0.408,0.407
0.8611,0.8604
0.8246,0.8235
0.7972,0.7963
0.768,0.767
0.7445,0.7442
0.7062,0.7051
0.9715,0.9704
0.9596,0.9584
0.9404,0.939
0.923,0.9225
0.9057,0.9047
0.886,0.8843
0.9969,0.9962
0.9942,0.9931
0.9877,0.9868
0.981,0.9797
0.9746,0.9729
0.9642,0.9624
0.9996,0.9995
0.9996,0.9991
0.9988,0.998
0.9972,0.9962
0.9942,0.993
0.9911,0.99
1,0.9997
1,0.9997
0.9998,0.9997
0.9995,0.9993
0.9993,0.9989
0.999,0.9984
0.5466,0.546
0.5026,0.5022
0.4709,0.4703
0.4344,0.4336
0.4109,0.4097
0.392,0.3905
0.8352,0.8343
0.7993,0.7982
0.7716,0.7707
0.7433,0.7426
0.7199,0.7193
0.6832,0.682
0.9596,0.9583
0.9446,0.9435
0.9232,0.9222
0.9045,0.9045
0.8861,0.8853
0.8658,0.8645
0.9942,0.9939
0.9901,0.989
0.9823,0.9812
0.9741,0.973
0.9662,0.9647
0.955,0.9531
0.9991,0.9993
0.9986,0.9986
0.9971,0.9966
0.9949,0.9941
0.991,0.9901
0.9873,0.986
1,0.9996
1,0.9995
0.9997,0.9995
0.999,0.9991
0.9983,0.9985
0.9972,0.9971
0.0565,0.0562
0.084,0.0836
0.1192,0.1186
0.1428,0.1425
0.1656,0.1642
0.6989,0.6984
0.6483,0.6469
0.617,0.6163
0.5892,0.5885
0.5681,0.5675
0.5453,0.5448
0.9556,0.9548
0.9344,0.9335
0.9055,0.9042
0.879,0.8786
0.8543,0.8537
0.8327,0.8315
0.9978,0.9972
0.9956,0.9948
0.9872,0.9864
0.9789,0.978
0.9695,0.9682
0.9579,0.9563
1,0.9999
1,0.9995
0.9996,0.9986
0.998,0.9969
0.9953,0.9943
0.9925,0.9915
1,1.0001
1,1.0001
1,1.0001
0.9998,0.9997
0.9999,0.9993
0.9996,0.999
0.0392,0.0392
0.0726,0.0724
0.0964,0.0963
0.1219,0.1229
0.6445,0.6443
0.5937,0.5927
0.5639,0.5636
0.536,0.5359
0.5169,0.5167
0.4946,0.4941
0.9301,0.929
0.9036,0.9029
0.8718,0.8708
0.8457,0.8455
0.82,0.8197
0.7967,0.7956
0.9938,0.993
0.9881,0.9872
0.9772,0.9765
0.9667,0.9659
0.9539,0.9527
0.9408,0.9392
0.9997,0.9998
0.9992,0.9994
0.9979,0.9976
0.995,0.9945
0.9906,0.9892
0.9866,0.9853
1,1
1,1
0.9999,1
0.9995,0.9996
0.9989,0.9992
0.9981,0.9981
0.0379,0.0382
0.0646,0.0648
0.0902,0.0908
0.6175,0.6171
0.5677,0.5666
0.5347,0.5346
0.5066,0.5063
0.485,0.485
0.4622,0.4623
0.9027,0.9016
0.8733,0.8728
0.8411,0.8397
0.8144,0.8139
0.7869,0.7862
0.7644,0.7631
0.9873,0.9866
0.9788,0.9781
0.9663,0.9659
0.9532,0.9525
0.9391,0.9378
