max_distance_distributions,max_distance_sketches
1,1.0007
1,0.9989
1,1.0007
1,1.0019
0.9999,1.0005
0.0302,0.0298
0.0715,0.0729
0.0898,0.0904
0.6014,0.6023
0.5578,0.5583
0.5217,0.523
0.4929,0.4935
0.469,0.4698
0.4582,0.4592
0.9039,0.9049
0.8701,0.8718
0.8424,0.8438
0.8153,0.8193
0.7921,0.7912
0.7562,0.7574
0.989,0.9901
0.9803,0.9807
0.9664,0.9655
0.9539,0.9538
0.938,0.9375
0.919,0.9209
0.9991,0.9999
0.9981,0.9985
0.9952,0.9949
0.9921,0.9927
0.9881,0.9899
0.9817,0.9839
1,0.9983
1,0.9993
0.9999,1.0007
0.9988,1.0007
0.998,0.9971
0.996,0.9971
1,1.0005
1,1.0007
1,1.0003
0.9999,1.0005
0.9999,1.0005
0.9998,1.0007
0.0443,0.0449
0.0625,0.0647
0.5749,0.5744
0.5316,0.5307
0.4959,0.4955
0.4644,0.464
0.4407,0.442
0.4291,0.4313
0.8818,0.8847
0.8448,0.8453
0.8173,0.8182
0.7901,0.7911
0.7667,0.768
0.7306,0.733
0.9799,0.9785
0.9685,0.9707
0.9516,0.9515
0.9366,0.938
0.919,0.9201
0.8997,0.9009
0.9977,0.9981
0.9961,0.9981
0.991,0.9919
0.9861,0.9855
0.9811,0.9847
0.9724,0.9711
0.9998,0.9999
0.9997,0.9987
0.999,0.9999
0.9976,1.0003
0.9958,0.9965
0.9933,0.9949
1,1.0001
1,0.9999
0.9999,1.0005
0.9997,0.9989
0.9994,1.0005
0.9991,1.0003
0.0266,0.0278
0.5591,0.5593
0.5131,0.5139
0.4805,0.4834
0.4477,0.4489
0.4237,0.4243
0.408,0.4084
0.8611,0.8625
0.8246,0.8266
0.7972,0.7966
0.768,0.7663
0.7445,0.7446
0.7062,0.7062
0.9715,0.9739
0.9596,0.9607
0.9404,0.9427
0.923,0.9237
0.9057,0.9078
0.886,0.8884
0.9969,0.9971
0.9942,0.9947
0.9877,0.9893
0.981,0.9835
0.9746,0.9767
0.9642,0.9669
0.9996,1.0003
0.9996,0.9991
0.9988,0.9983
0.9972,0.9981
0.9942,0.9945
0.9911,0.9911
1,1.0019
1,1.0003
0.9998,1.0005
0.9995,0.9987
0.9993,1.0021
0.999,0.9983
0.5466,0.5483
0.5026,0.5013
0.4709,0.4723
0.4344,0.433
0.4109,0.4106
0.392,0.393
0.8352,0.8351
0.7993,0.8012
0.7716,0.7712
0.7433,0.7449
0.7199,0.7218
0.6832,0.6828
0.9596,0.9604
0.9446,0.9458
0.9232,0.9224
0.9045,0.9071
0.8861,0.8862
0.8658,0.8666
0.9942,0.9969
0.9901,0.9931
0.9823,0.9817
0.9741,0.9754
0.9662,0.967
0.955,0.9574
0.9991,1.0003
0.9986,1.0003
0.9971,0.9997
0.9949,0.9959
0.991,0.9925
0.9873,0.9871
1,1.0005
1,0.9989
0.9997,0.9983
0.999,1.0005
0.9983,0.9981
0.9972,0.9983
0.0565,0.0572
0.084,0.0845
0.1192,0.1202
0.1428,0.1436
0.1656,0.1654
0.6989,0.6998
0.6483,0.649
0.617,0.619
0.5892,0.5912
0.5681,0.5691
0.5453,0.5467
0.9556,0.9565
0.9344,0.9375
0.9055,0.9065
0.879,0.8799
0.8543,0.8538
0.8327,0.8333
0.9978,0.9987
0.9956,0.9969
0.9872,0.9877
0.9789,0.9781
0.9695,0.9725
0.9579,0.9581
1,1.0003
1,0.9991
0.9996,0.9987
0.998,0.9989
0.9953,0.9955
0.9925,0.9915
1,0.9989
1,0.9987
1,1.0007
0.9998,1.0001
0.9999,1.0005
0.9996,1.0007
0.0392,0.0397
0.0726,0.0725
0.0964,0.0983
0.1219,0.1229
0.6445,0.6448
0.5937,0.5934
0.5639,0.5636
0.536,0.5374
0.5169,0.5162
0.4946,0.4951
0.9301,0.9291
0.9036,0.9043
0.8718,0.8707
0.8457,0.847
0.82,0.8206
0.7967,0.7979
0.9938,0.9945
0.9881,0.9877
0.9772,0.9787
0.9667,0.9667
0.9539,0.9549
0.9408,0.9417
0.9997,0.9983
0.9992,1.0007
0.9979,0.9967
0.995,0.9965
0.9906,0.9909
0.9866,0.9873
1,1.0003
1,1.0001
0.9999,1.0005
0.9995,1.0003
0.9989,0.9985
0.9981,0.9985
0.0379,0.0398
0.0646,0.0651
0.0902,0.0905
0.6175,0.6154
0.5677,0.569
0.5347,0.5354
0.5066,0.5062
0.485,0.486
0.4622,0.4617
0.9027,0.9032
0.8733,0.8752
0.8411,0.8433
0.8144,0.816
0.7869,0.788
0.7644,0.7641
0.9873,0.9865
0.9788,0.9797
0.9663,0.9679
0.9532,0.9547
0.9391,0.9395
0.9217,0.9233
0.9991,1.0005
0.998,1.0005
0.9958,0.9969
0.9916,0.9913
0.9862,0.9857
0.9796,0.9787
1,0.9985
1,1.0005
0.9998,1.0005
0.999,0.9991
0.9982,0.9973
0.9964,0.9953
0.0312,0.0339
