max_distance_distributions,max_distance_sketches
0.919,0.919
0.9991,0.9991
0.9981,0.9981
0.9952,0.9952
0.9921,0.9921
0.9881,0.9881
0.9817,0.9817
1,1
1,1
0.9999,0.9999
0.9988,0.9988
0.998,0.998
0.996,0.996
1,1
1,1
1,1
0.9999,0.9999
0.9999,0.9999
0.9998,0.9998
0.0443,0.0443
0.0625,0.0625
0.5749,0.5749
0.5316,0.5316
0.4959,0.4959
0.4644,0.4644
0.4407,0.4407
0.4291,0.4291
0.8818,0.8818
0.8448,0.8448
0.8173,0.8173
0.7901,0.7901
0.7667,0.7667
0.7306,0.7306
0.9799,0.9799
0.9685,0.9685
0.9516,0.9516
0.9366,0.9366
0.919,0.919
0.8997,0.8997
0.9977,0.9977
0.9961,0.9961
0.991,0.991
0.9861,0.9861
0.9811,0.9811
0.9724,0.9724
0.9998,0.9998
0.9997,0.9997
0.999,0.999
0.9976,0.9976
0.9958,0.9958
0.9933,0.9933
1,1
1,1
0.9999,0.9999
0.9997,0.9997
0.9994,0.9994
0.9991,0.9991
0.0266,0.0266
0.5591,0.5591
0.5131,0.5131
0.4805,0.4805
0.4477,0.4477
0.4237,0.4237
0.408,0.408
0.8611,0.8611
0.8246,0.8246
0.7972,0.7972
0.768,0.768
0.7445,0.7445
0.7062,0.7062
0.9715,0.9715
0.9596,0.9596
0.9404,0.9404
0.923,0.923
0.9057,0.9057
0.886,0.886
0.9969,0.9969
0.9942,0.9942
0.9877,0.9877
0.981,0.981
0.9746,0.9746
0.9642,0.9642
0.9996,0.9996
0.9996,0.9996
0.9988,0.9988
0.9972,0.9972
0.9942,0.9942
0.9911,0.9914
1,1
1,1
0.9998,0.9998
0.9995,0.9995
0.9993,0.9993
0.999,0.999
0.5466,0.5466
0.5026,0.5026
0.4709,0.4709
0.4344,0.4344
0.4109,0.4109
0.392,0.392
0.8352,0.8352
0.7993,0.7993
0.7716,0.7716
0.7433,0.7433
0.7199,0.7199
0.6832,0.683
0.9596,0.9596
0.9446,0.9446
0.9232,0.9232
0.9045,0.9045
0.8861,0.8861
0.8658,0.8658
0.9942,0.9942
0.9901,0.9901
0.9823,0.9823
0.9741,0.9741
0.9662,0.9662
0.955,0.955
0.9991,0.9991
0.9986,0.9986
0.9971,0.9971
0.9949,0.9949
0.991,0.991
0.9873,0.9873
1,1
1,1
0.9997,0.9997
0.999,0.999
0.9983,0.9983
0.9972,0.9971
0.0565,0.0565
0.084,0.084
0.1192,0.1192
0.1428,0.1428
0.1656,0.1656
0.6989,0.6989
0.6483,0.6483
0.617,0.617
0.5892,0.5892
0.5681,0.5681
0.5453,0.5453
0.9556,0.9556
0.9344,0.9344
0.9055,0.9055
0.879,0.879
0.8543,0.8543
0.8327,0.8327
0.9978,0.9978
0.9956,0.9956
0.9872,0.9872
0.9789,0.9789
0.9695,0.9695
0.9579,0.9579
1,1
1,1
0.9996,0.9996
0.998,0.998
0.9953,0.9953
0.9925,0.9925
1,1
1,1
1,1.0001
0.9998,0.9998
0.9999,0.9999
0.9996,0.9996
0.0392,0.0392
0.0726,0.0726
0.0964,0.0964
0.1219,0.1219
0.6445,0.6445
0.5937,0.5937
0.5639,0.5639
0.536,0.536
0.5169,0.5169
0.4946,0.4946
0.9301,0.9301
0.9036,0.9036
