max_distance_distributions,max_distance_sketches
0.9999,0.998
0.0302,0.0306
0.0715,0.0725
0.0898,0.0919
0.6014,0.6014
0.5578,0.5577
0.5217,0.5215
0.4929,0.493
0.469,0.4693
0.4582,0.4586
0.9039,0.9058
0.8701,0.8708
0.8424,0.8441
0.8153,0.8178
0.7921,0.7948
0.7562,0.7586
0.989,0.992
0.9803,0.9823
0.9664,0.9686
0.9539,0.9555
0.938,0.9399
0.919,0.9225
0.9991,0.996
0.9981,0.9961
0.9952,0.9961
0.9921,0.9938
0.9881,0.9896
0.9817,0.9862
1,0.9965
1,0.9969
0.9999,0.9971
0.9988,0.9964
0.998,0.9968
0.996,0.9968
1,0.996
1,0.9964
1,0.9967
0.9999,0.9963
0.9999,0.9961
0.9998,0.9969
0.0443,0.046
0.0625,0.064
0.5749,0.5751
0.5316,0.531
0.4959,0.4961
0.4644,0.4643
0.4407,0.4408
0.4291,0.4316
0.8818,0.8825
0.8448,0.8458
0.8173,0.8189
0.7901,0.7919
0.7667,0.7692
0.7306,0.733
0.9799,0.9843
0.9685,0.9714
0.9516,0.9533
0.9366,0.9398
0.919,0.9207
0.8997,0.9021
0.9977,0.9957
0.9961,0.9958
0.991,0.9915
0.9861,0.9896
0.9811,0.9823
0.9724,0.9746
0.9998,0.9962
0.9997,0.9966
0.999,0.9968
0.9976,0.9961
0.9958,0.9965
0.9933,0.9937
1,0.9957
1,0.9961
0.9999,0.9964
0.9997,0.996
0.9994,0.9958
0.9991,0.9966
0.0266,0.0291
0.5591,0.5587
0.5131,0.5135
0.4805,0.4802
0.4477,0.4485
0.4237,0.424
0.408,0.4102
0.8611,0.8625
0.8246,0.8252
0.7972,0.7979
0.768,0.7708
0.7445,0.7471
0.7062,0.7087
0.9715,0.9747
0.9596,0.9628
0.9404,0.9428
0.923,0.9251
0.9057,0.9067
0.886,0.8884
0.9969,0.9962
0.9942,0.9926
0.9877,0.9918
0.981,0.9831
0.9746,0.976
0.9642,0.9665
0.9996,0.9967
0.9996,0.9971
0.9988,0.9973
0.9972,0.9966
0.9942,0.9933
0.9911,0.9925
1,0.9962
1,0.9966
0.9998,0.9969
0.9995,0.9965
0.9993,0.9963
0.999,0.9971
0.5466,0.5468
0.5026,0.5033
0.4709,0.4714
0.4344,0.4345
0.4109,0.4114
0.392,0.3934
0.8352,0.8379
0.7993,0.8006
0.7716,0.7738
0.7433,0.7459
