500000 2.017249345779419 0.5292447305047095	500000 2.0246019911766053
1000000 3.8229860067367554 1.0155287198233913	1000000 4.034211208820343
5000000 20.148510575294495 3.5258547539527014	5000000 20.660900197029115
10000000 39.67171359062195 6.171319149832349	10000000 41.38154934883118
